"Path","Filename","Name","Tipus","Authority","Tags","Description","Created_At","Updated_At"
"00_SER_Brain_Identitat/00_BIOS.md","00_BIOS.md","bios-config","bios","Consell de les 12 IAs + Mestre Javi","bios, normativa, termodinamica, visio","Les 9 lleis inamovibles i actes reflexos.","260705_0815","260705_0815"
"00_SER_Brain_Identitat/01_IDENTITAT.md","01_IDENTITAT.md","iaia-maria","identitat","Consell de les 11 IAs","bios, visio","Targeta de presentació i identitat híbrida de l'ens Sóc de Poble.","260705_0815","260705_0815"
"00_SER_Brain_Identitat/03_EIXAM.md","03_EIXAM.md","eixam-rols","organitzacio","Consell de les 12 IAs + Mestre Javi","organitzacio, ia, ment_colmena, bios, visio","Composició del Consell de IAs i els rols especialitzats (Agent-com-a-Carpeta).","260705_0815","260705_0815"
"00_SER_Brain_Identitat/04_registre_automillora.md","04_registre_automillora.md","registre-automillora","registre","IAIA MarIA","bios, visio","Registre dAutomillora (El Diari de la Màquina)","260705_0445","260705_0445"
"01_SABER_Cultura_Coneixement/00_GLOSSARI_CANONIC.md","00_GLOSSARI_CANONIC.md","glossari","glossari","Consell de les 12 IAs + Mestre Javi","cultura, lexic","📚 GLOSSARI CANÒNIC I DICCIONARI DE LA LLENGUA DEL MAS","260705_0445","260705_0445"
"01_SABER_Cultura_Coneixement/00_visio_i_pilars.md","00_visio_i_pilars.md","visio-i-pilars","core","Consell de les 12 IAs + Mestre Javi","visio, missio, cultura, lexic","🏡 VISIÓ I MISSIÓ DE SÒC DE POBLE","260705_0445","260705_0445"
"01_SABER_Cultura_Coneixement/01_trellat.md","01_trellat.md","trellat","core","Consell de les 12 IAs + Mestre Javi","execucio, cultura, lexic","Filosofia fonamental de disseny rústic, Vanilla JS i resiliència.","260705_0445","260705_0815"
"01_SABER_Cultura_Coneixement/260705_1000_CULTURA_Narrativa_Historica.md","260705_1000_CULTURA_Narrativa_Historica.md","glossari","saber","Consell de les 11 IAs","cultura, lexic","Glossari Cultural i Narratiu","260705_0313","260705_0904"
"01_SABER_Cultura_Coneixement/la_torre/fadrins_i_fadrines.md","fadrins_i_fadrines.md","fadrins-i-fadrines","cultura","IAIA MarIA","cultura, rural, bios, lexic","🎊 Cultura Fadrins i Fadrines (La Torre de les Maçanes)","260628_2303","260704_0816"
"02_ACTUAR_Maquina_Tecnica/00_arquitectura_tecnica_unificada.md","00_arquitectura_tecnica_unificada.md","arquitectura","identitat","IAIA MarIA","execucio, bios, arquitectura","Arquitectura Tècnica","260627_0240","260704_0816"
